store_name,geometry,index_right,id,name,lat,lng,final_num_units,default_units,distance
1,"POLYGON ((77.61647704294562 13.062699625388513, 77.6164497145423 13.06309508465784, 77.6164620549822 13.06349126587211, 77.61651394568219 13.063884353980937, 77.61660488724031 13.064270563683028, 77.61673400423226 13.064646175867095, 77.6169000536273 13.065007573417425, 77.61710143674247 13.065351276039717, 77.61733621462092 13.06567397377192, 77.61760212668702 13.065972558857903, 77.61789661249911 13.066244155676745, 77.61821683639108 13.066486148439987, 77.61855971476648 13.066696206388961, 77.61892194578208 13.066872306250797, 77.61930004113655 13.067012751734804, 77.61969035965765 13.067116189882396, 77.62008914236517 13.067181624111994, 77.62049254867189 13.067208423832309, 77.62089669337418 13.06719633053197, 77.62129768407536 13.067145460284703, 77.621691658682 13.067056302646805, 77.62207482261047 13.066929715955936, 77.62244348534632 13.06676691907607, 77.62279409600232 13.06656947966873, 77.62312327753368 13.066339299101141, 77.62342785927858 13.066078594138716, 77.62370490751162 13.065789875596009, 77.62395175371361 13.06547592415315, 77.62416602028621 13.065139763570107, 77.62434564346226 13.064784631557112, 77.6244888931911 13.064413948582246, 77.62459438980692 13.064031284916958, 77.62466111731909 13.063640326237172, 77.624688433197 13.063244838112443, 77.62467607455417 13.062848629725066, 77.6246241606732 13.062455517169655, 77.62453319184696 13.062069286686976, 77.62440404454759 13.061693658186927, 77.62423796297054 13.061332249412164, 77.62403654703553 13.060988541088404, 77.62380173696063 13.06066584339677, 77.62353579455879 13.060367264091838, 77.62324128143747 13.060095678572413, 77.62292103431217 13.059853702192653, 77.62257813767228 13.059643665081643, 77.62221589406285 13.059467589711453, 77.62183779226923 13.059327171431622, 77.62144747371111 13.059223762155256, 77.62104869737011 13.059158357354447, 77.6206453035888 13.059131586489471, 77.62024117708947 13.059143706962917, 77.61984020956923 13.059194601656753, 77.61944626223074 13.059283780075251, 77.61906312860968 13.059410383082149, 77.61869449805583 13.0595731911864, 77.61834392021966 13.059770636295214, 77.61801477088476 13.060000816822216, 77.61771021947557 13.060261516003605, 77.61743319855182 13.060550223246917, 77.61718637558315 13.060864158306293, 77.61697212727503 13.06120029805135, 77.61679251669281 13.0615554055727, 77.6166492734031 13.061926061343371, 77.61654377682434 13.062308696137475, 77.61647704294562 13.062699625388513))",277,25954,Keya Life By The Lake,13.063598,77.619675,50.0,50.0,0.11
1,"POLYGON ((77.61647704294562 13.062699625388513, 77.6164497145423 13.06309508465784, 77.6164620549822 13.06349126587211, 77.61651394568219 13.063884353980937, 77.61660488724031 13.064270563683028, 77.61673400423226 13.064646175867095, 77.6169000536273 13.065007573417425, 77.61710143674247 13.065351276039717, 77.61733621462092 13.06567397377192, 77.61760212668702 13.065972558857903, 77.61789661249911 13.066244155676745, 77.61821683639108 13.066486148439987, 77.61855971476648 13.066696206388961, 77.61892194578208 13.066872306250797, 77.61930004113655 13.067012751734804, 77.61969035965765 13.067116189882396, 77.62008914236517 13.067181624111994, 77.62049254867189 13.067208423832309, 77.62089669337418 13.06719633053197, 77.62129768407536 13.067145460284703, 77.621691658682 13.067056302646805, 77.62207482261047 13.066929715955936, 77.62244348534632 13.06676691907607, 77.62279409600232 13.06656947966873, 77.62312327753368 13.066339299101141, 77.62342785927858 13.066078594138716, 77.62370490751162 13.065789875596009, 77.62395175371361 13.06547592415315, 77.62416602028621 13.065139763570107, 77.62434564346226 13.064784631557112, 77.6244888931911 13.064413948582246, 77.62459438980692 13.064031284916958, 77.62466111731909 13.063640326237172, 77.624688433197 13.063244838112443, 77.62467607455417 13.062848629725066, 77.6246241606732 13.062455517169655, 77.62453319184696 13.062069286686976, 77.62440404454759 13.061693658186927, 77.62423796297054 13.061332249412164, 77.62403654703553 13.060988541088404, 77.62380173696063 13.06066584339677, 77.62353579455879 13.060367264091838, 77.62324128143747 13.060095678572413, 77.62292103431217 13.059853702192653, 77.62257813767228 13.059643665081643, 77.62221589406285 13.059467589711453, 77.62183779226923 13.059327171431622, 77.62144747371111 13.059223762155256, 77.62104869737011 13.059158357354447, 77.6206453035888 13.059131586489471, 77.62024117708947 13.059143706962917, 77.61984020956923 13.059194601656753, 77.61944626223074 13.059283780075251, 77.61906312860968 13.059410383082149, 77.61869449805583 13.0595731911864, 77.61834392021966 13.059770636295214, 77.61801477088476 13.060000816822216, 77.61771021947557 13.060261516003605, 77.61743319855182 13.060550223246917, 77.61718637558315 13.060864158306293, 77.61697212727503 13.06120029805135, 77.61679251669281 13.0615554055727, 77.6166492734031 13.061926061343371, 77.61654377682434 13.062308696137475, 77.61647704294562 13.062699625388513))",288,109309,Viven Trails,13.066405,77.618649,48.0,48.0,0.41
1,"POLYGON ((77.61647704294562 13.062699625388513, 77.6164497145423 13.06309508465784, 77.6164620549822 13.06349126587211, 77.61651394568219 13.063884353980937, 77.61660488724031 13.064270563683028, 77.61673400423226 13.064646175867095, 77.6169000536273 13.065007573417425, 77.61710143674247 13.065351276039717, 77.61733621462092 13.06567397377192, 77.61760212668702 13.065972558857903, 77.61789661249911 13.066244155676745, 77.61821683639108 13.066486148439987, 77.61855971476648 13.066696206388961, 77.61892194578208 13.066872306250797, 77.61930004113655 13.067012751734804, 77.61969035965765 13.067116189882396, 77.62008914236517 13.067181624111994, 77.62049254867189 13.067208423832309, 77.62089669337418 13.06719633053197, 77.62129768407536 13.067145460284703, 77.621691658682 13.067056302646805, 77.62207482261047 13.066929715955936, 77.62244348534632 13.06676691907607, 77.62279409600232 13.06656947966873, 77.62312327753368 13.066339299101141, 77.62342785927858 13.066078594138716, 77.62370490751162 13.065789875596009, 77.62395175371361 13.06547592415315, 77.62416602028621 13.065139763570107, 77.62434564346226 13.064784631557112, 77.6244888931911 13.064413948582246, 77.62459438980692 13.064031284916958, 77.62466111731909 13.063640326237172, 77.624688433197 13.063244838112443, 77.62467607455417 13.062848629725066, 77.6246241606732 13.062455517169655, 77.62453319184696 13.062069286686976, 77.62440404454759 13.061693658186927, 77.62423796297054 13.061332249412164, 77.62403654703553 13.060988541088404, 77.62380173696063 13.06066584339677, 77.62353579455879 13.060367264091838, 77.62324128143747 13.060095678572413, 77.62292103431217 13.059853702192653, 77.62257813767228 13.059643665081643, 77.62221589406285 13.059467589711453, 77.62183779226923 13.059327171431622, 77.62144747371111 13.059223762155256, 77.62104869737011 13.059158357354447, 77.6206453035888 13.059131586489471, 77.62024117708947 13.059143706962917, 77.61984020956923 13.059194601656753, 77.61944626223074 13.059283780075251, 77.61906312860968 13.059410383082149, 77.61869449805583 13.0595731911864, 77.61834392021966 13.059770636295214, 77.61801477088476 13.060000816822216, 77.61771021947557 13.060261516003605, 77.61743319855182 13.060550223246917, 77.61718637558315 13.060864158306293, 77.61697212727503 13.06120029805135, 77.61679251669281 13.0615554055727, 77.6166492734031 13.061926061343371, 77.61654377682434 13.062308696137475, 77.61647704294562 13.062699625388513))",295,c3n7er,EWest Skyway,13.059912,77.618175,44.0,44.0,0.44
1,"POLYGON ((77.61647704294562 13.062699625388513, 77.6164497145423 13.06309508465784, 77.6164620549822 13.06349126587211, 77.61651394568219 13.063884353980937, 77.61660488724031 13.064270563683028, 77.61673400423226 13.064646175867095, 77.6169000536273 13.065007573417425, 77.61710143674247 13.065351276039717, 77.61733621462092 13.06567397377192, 77.61760212668702 13.065972558857903, 77.61789661249911 13.066244155676745, 77.61821683639108 13.066486148439987, 77.61855971476648 13.066696206388961, 77.61892194578208 13.066872306250797, 77.61930004113655 13.067012751734804, 77.61969035965765 13.067116189882396, 77.62008914236517 13.067181624111994, 77.62049254867189 13.067208423832309, 77.62089669337418 13.06719633053197, 77.62129768407536 13.067145460284703, 77.621691658682 13.067056302646805, 77.62207482261047 13.066929715955936, 77.62244348534632 13.06676691907607, 77.62279409600232 13.06656947966873, 77.62312327753368 13.066339299101141, 77.62342785927858 13.066078594138716, 77.62370490751162 13.065789875596009, 77.62395175371361 13.06547592415315, 77.62416602028621 13.065139763570107, 77.62434564346226 13.064784631557112, 77.6244888931911 13.064413948582246, 77.62459438980692 13.064031284916958, 77.62466111731909 13.063640326237172, 77.624688433197 13.063244838112443, 77.62467607455417 13.062848629725066, 77.6246241606732 13.062455517169655, 77.62453319184696 13.062069286686976, 77.62440404454759 13.061693658186927, 77.62423796297054 13.061332249412164, 77.62403654703553 13.060988541088404, 77.62380173696063 13.06066584339677, 77.62353579455879 13.060367264091838, 77.62324128143747 13.060095678572413, 77.62292103431217 13.059853702192653, 77.62257813767228 13.059643665081643, 77.62221589406285 13.059467589711453, 77.62183779226923 13.059327171431622, 77.62144747371111 13.059223762155256, 77.62104869737011 13.059158357354447, 77.6206453035888 13.059131586489471, 77.62024117708947 13.059143706962917, 77.61984020956923 13.059194601656753, 77.61944626223074 13.059283780075251, 77.61906312860968 13.059410383082149, 77.61869449805583 13.0595731911864, 77.61834392021966 13.059770636295214, 77.61801477088476 13.060000816822216, 77.61771021947557 13.060261516003605, 77.61743319855182 13.060550223246917, 77.61718637558315 13.060864158306293, 77.61697212727503 13.06120029805135, 77.61679251669281 13.0615554055727, 77.6166492734031 13.061926061343371, 77.61654377682434 13.062308696137475, 77.61647704294562 13.062699625388513))",314,cpklx6,Parisara Flying View,13.063201,77.620714,40.0,40.0,0.02
1,"POLYGON ((77.61647704294562 13.062699625388513, 77.6164497145423 13.06309508465784, 77.6164620549822 13.06349126587211, 77.61651394568219 13.063884353980937, 77.61660488724031 13.064270563683028, 77.61673400423226 13.064646175867095, 77.6169000536273 13.065007573417425, 77.61710143674247 13.065351276039717, 77.61733621462092 13.06567397377192, 77.61760212668702 13.065972558857903, 77.61789661249911 13.066244155676745, 77.61821683639108 13.066486148439987, 77.61855971476648 13.066696206388961, 77.61892194578208 13.066872306250797, 77.61930004113655 13.067012751734804, 77.61969035965765 13.067116189882396, 77.62008914236517 13.067181624111994, 77.62049254867189 13.067208423832309, 77.62089669337418 13.06719633053197, 77.62129768407536 13.067145460284703, 77.621691658682 13.067056302646805, 77.62207482261047 13.066929715955936, 77.62244348534632 13.06676691907607, 77.62279409600232 13.06656947966873, 77.62312327753368 13.066339299101141, 77.62342785927858 13.066078594138716, 77.62370490751162 13.065789875596009, 77.62395175371361 13.06547592415315, 77.62416602028621 13.065139763570107, 77.62434564346226 13.064784631557112, 77.6244888931911 13.064413948582246, 77.62459438980692 13.064031284916958, 77.62466111731909 13.063640326237172, 77.624688433197 13.063244838112443, 77.62467607455417 13.062848629725066, 77.6246241606732 13.062455517169655, 77.62453319184696 13.062069286686976, 77.62440404454759 13.061693658186927, 77.62423796297054 13.061332249412164, 77.62403654703553 13.060988541088404, 77.62380173696063 13.06066584339677, 77.62353579455879 13.060367264091838, 77.62324128143747 13.060095678572413, 77.62292103431217 13.059853702192653, 77.62257813767228 13.059643665081643, 77.62221589406285 13.059467589711453, 77.62183779226923 13.059327171431622, 77.62144747371111 13.059223762155256, 77.62104869737011 13.059158357354447, 77.6206453035888 13.059131586489471, 77.62024117708947 13.059143706962917, 77.61984020956923 13.059194601656753, 77.61944626223074 13.059283780075251, 77.61906312860968 13.059410383082149, 77.61869449805583 13.0595731911864, 77.61834392021966 13.059770636295214, 77.61801477088476 13.060000816822216, 77.61771021947557 13.060261516003605, 77.61743319855182 13.060550223246917, 77.61718637558315 13.060864158306293, 77.61697212727503 13.06120029805135, 77.61679251669281 13.0615554055727, 77.6166492734031 13.061926061343371, 77.61654377682434 13.062308696137475, 77.61647704294562 13.062699625388513))",321,42182,Sai Shakthi Avhni,13.067055,77.62042,40.0,40.0,0.43
1,"POLYGON ((77.61647704294562 13.062699625388513, 77.6164497145423 13.06309508465784, 77.6164620549822 13.06349126587211, 77.61651394568219 13.063884353980937, 77.61660488724031 13.064270563683028, 77.61673400423226 13.064646175867095, 77.6169000536273 13.065007573417425, 77.61710143674247 13.065351276039717, 77.61733621462092 13.06567397377192, 77.61760212668702 13.065972558857903, 77.61789661249911 13.066244155676745, 77.61821683639108 13.066486148439987, 77.61855971476648 13.066696206388961, 77.61892194578208 13.066872306250797, 77.61930004113655 13.067012751734804, 77.61969035965765 13.067116189882396, 77.62008914236517 13.067181624111994, 77.62049254867189 13.067208423832309, 77.62089669337418 13.06719633053197, 77.62129768407536 13.067145460284703, 77.621691658682 13.067056302646805, 77.62207482261047 13.066929715955936, 77.62244348534632 13.06676691907607, 77.62279409600232 13.06656947966873, 77.62312327753368 13.066339299101141, 77.62342785927858 13.066078594138716, 77.62370490751162 13.065789875596009, 77.62395175371361 13.06547592415315, 77.62416602028621 13.065139763570107, 77.62434564346226 13.064784631557112, 77.6244888931911 13.064413948582246, 77.62459438980692 13.064031284916958, 77.62466111731909 13.063640326237172, 77.624688433197 13.063244838112443, 77.62467607455417 13.062848629725066, 77.6246241606732 13.062455517169655, 77.62453319184696 13.062069286686976, 77.62440404454759 13.061693658186927, 77.62423796297054 13.061332249412164, 77.62403654703553 13.060988541088404, 77.62380173696063 13.06066584339677, 77.62353579455879 13.060367264091838, 77.62324128143747 13.060095678572413, 77.62292103431217 13.059853702192653, 77.62257813767228 13.059643665081643, 77.62221589406285 13.059467589711453, 77.62183779226923 13.059327171431622, 77.62144747371111 13.059223762155256, 77.62104869737011 13.059158357354447, 77.6206453035888 13.059131586489471, 77.62024117708947 13.059143706962917, 77.61984020956923 13.059194601656753, 77.61944626223074 13.059283780075251, 77.61906312860968 13.059410383082149, 77.61869449805583 13.0595731911864, 77.61834392021966 13.059770636295214, 77.61801477088476 13.060000816822216, 77.61771021947557 13.060261516003605, 77.61743319855182 13.060550223246917, 77.61718637558315 13.060864158306293, 77.61697212727503 13.06120029805135, 77.61679251669281 13.0615554055727, 77.6166492734031 13.061926061343371, 77.61654377682434 13.062308696137475, 77.61647704294562 13.062699625388513))",324,102236,Legacy Global Tesora,13.060313,77.623296,39.0,39.0,0.43
1,"POLYGON ((77.61647704294562 13.062699625388513, 77.6164497145423 13.06309508465784, 77.6164620549822 13.06349126587211, 77.61651394568219 13.063884353980937, 77.61660488724031 13.064270563683028, 77.61673400423226 13.064646175867095, 77.6169000536273 13.065007573417425, 77.61710143674247 13.065351276039717, 77.61733621462092 13.06567397377192, 77.61760212668702 13.065972558857903, 77.61789661249911 13.066244155676745, 77.61821683639108 13.066486148439987, 77.61855971476648 13.066696206388961, 77.61892194578208 13.066872306250797, 77.61930004113655 13.067012751734804, 77.61969035965765 13.067116189882396, 77.62008914236517 13.067181624111994, 77.62049254867189 13.067208423832309, 77.62089669337418 13.06719633053197, 77.62129768407536 13.067145460284703, 77.621691658682 13.067056302646805, 77.62207482261047 13.066929715955936, 77.62244348534632 13.06676691907607, 77.62279409600232 13.06656947966873, 77.62312327753368 13.066339299101141, 77.62342785927858 13.066078594138716, 77.62370490751162 13.065789875596009, 77.62395175371361 13.06547592415315, 77.62416602028621 13.065139763570107, 77.62434564346226 13.064784631557112, 77.6244888931911 13.064413948582246, 77.62459438980692 13.064031284916958, 77.62466111731909 13.063640326237172, 77.624688433197 13.063244838112443, 77.62467607455417 13.062848629725066, 77.6246241606732 13.062455517169655, 77.62453319184696 13.062069286686976, 77.62440404454759 13.061693658186927, 77.62423796297054 13.061332249412164, 77.62403654703553 13.060988541088404, 77.62380173696063 13.06066584339677, 77.62353579455879 13.060367264091838, 77.62324128143747 13.060095678572413, 77.62292103431217 13.059853702192653, 77.62257813767228 13.059643665081643, 77.62221589406285 13.059467589711453, 77.62183779226923 13.059327171431622, 77.62144747371111 13.059223762155256, 77.62104869737011 13.059158357354447, 77.6206453035888 13.059131586489471, 77.62024117708947 13.059143706962917, 77.61984020956923 13.059194601656753, 77.61944626223074 13.059283780075251, 77.61906312860968 13.059410383082149, 77.61869449805583 13.0595731911864, 77.61834392021966 13.059770636295214, 77.61801477088476 13.060000816822216, 77.61771021947557 13.060261516003605, 77.61743319855182 13.060550223246917, 77.61718637558315 13.060864158306293, 77.61697212727503 13.06120029805135, 77.61679251669281 13.0615554055727, 77.6166492734031 13.061926061343371, 77.61654377682434 13.062308696137475, 77.61647704294562 13.062699625388513))",332,36716,Saroj Paradise,13.060524,77.619051,36.0,36.0,0.34
1,"POLYGON ((77.61647704294562 13.062699625388513, 77.6164497145423 13.06309508465784, 77.6164620549822 13.06349126587211, 77.61651394568219 13.063884353980937, 77.61660488724031 13.064270563683028, 77.61673400423226 13.064646175867095, 77.6169000536273 13.065007573417425, 77.61710143674247 13.065351276039717, 77.61733621462092 13.06567397377192, 77.61760212668702 13.065972558857903, 77.61789661249911 13.066244155676745, 77.61821683639108 13.066486148439987, 77.61855971476648 13.066696206388961, 77.61892194578208 13.066872306250797, 77.61930004113655 13.067012751734804, 77.61969035965765 13.067116189882396, 77.62008914236517 13.067181624111994, 77.62049254867189 13.067208423832309, 77.62089669337418 13.06719633053197, 77.62129768407536 13.067145460284703, 77.621691658682 13.067056302646805, 77.62207482261047 13.066929715955936, 77.62244348534632 13.06676691907607, 77.62279409600232 13.06656947966873, 77.62312327753368 13.066339299101141, 77.62342785927858 13.066078594138716, 77.62370490751162 13.065789875596009, 77.62395175371361 13.06547592415315, 77.62416602028621 13.065139763570107, 77.62434564346226 13.064784631557112, 77.6244888931911 13.064413948582246, 77.62459438980692 13.064031284916958, 77.62466111731909 13.063640326237172, 77.624688433197 13.063244838112443, 77.62467607455417 13.062848629725066, 77.6246241606732 13.062455517169655, 77.62453319184696 13.062069286686976, 77.62440404454759 13.061693658186927, 77.62423796297054 13.061332249412164, 77.62403654703553 13.060988541088404, 77.62380173696063 13.06066584339677, 77.62353579455879 13.060367264091838, 77.62324128143747 13.060095678572413, 77.62292103431217 13.059853702192653, 77.62257813767228 13.059643665081643, 77.62221589406285 13.059467589711453, 77.62183779226923 13.059327171431622, 77.62144747371111 13.059223762155256, 77.62104869737011 13.059158357354447, 77.6206453035888 13.059131586489471, 77.62024117708947 13.059143706962917, 77.61984020956923 13.059194601656753, 77.61944626223074 13.059283780075251, 77.61906312860968 13.059410383082149, 77.61869449805583 13.0595731911864, 77.61834392021966 13.059770636295214, 77.61801477088476 13.060000816822216, 77.61771021947557 13.060261516003605, 77.61743319855182 13.060550223246917, 77.61718637558315 13.060864158306293, 77.61697212727503 13.06120029805135, 77.61679251669281 13.0615554055727, 77.6166492734031 13.061926061343371, 77.61654377682434 13.062308696137475, 77.61647704294562 13.062699625388513))",389,207315,Aceron Ruby,13.064702,77.619557,28.0,28.0,0.2
1,"POLYGON ((77.61647704294562 13.062699625388513, 77.6164497145423 13.06309508465784, 77.6164620549822 13.06349126587211, 77.61651394568219 13.063884353980937, 77.61660488724031 13.064270563683028, 77.61673400423226 13.064646175867095, 77.6169000536273 13.065007573417425, 77.61710143674247 13.065351276039717, 77.61733621462092 13.06567397377192, 77.61760212668702 13.065972558857903, 77.61789661249911 13.066244155676745, 77.61821683639108 13.066486148439987, 77.61855971476648 13.066696206388961, 77.61892194578208 13.066872306250797, 77.61930004113655 13.067012751734804, 77.61969035965765 13.067116189882396, 77.62008914236517 13.067181624111994, 77.62049254867189 13.067208423832309, 77.62089669337418 13.06719633053197, 77.62129768407536 13.067145460284703, 77.621691658682 13.067056302646805, 77.62207482261047 13.066929715955936, 77.62244348534632 13.06676691907607, 77.62279409600232 13.06656947966873, 77.62312327753368 13.066339299101141, 77.62342785927858 13.066078594138716, 77.62370490751162 13.065789875596009, 77.62395175371361 13.06547592415315, 77.62416602028621 13.065139763570107, 77.62434564346226 13.064784631557112, 77.6244888931911 13.064413948582246, 77.62459438980692 13.064031284916958, 77.62466111731909 13.063640326237172, 77.624688433197 13.063244838112443, 77.62467607455417 13.062848629725066, 77.6246241606732 13.062455517169655, 77.62453319184696 13.062069286686976, 77.62440404454759 13.061693658186927, 77.62423796297054 13.061332249412164, 77.62403654703553 13.060988541088404, 77.62380173696063 13.06066584339677, 77.62353579455879 13.060367264091838, 77.62324128143747 13.060095678572413, 77.62292103431217 13.059853702192653, 77.62257813767228 13.059643665081643, 77.62221589406285 13.059467589711453, 77.62183779226923 13.059327171431622, 77.62144747371111 13.059223762155256, 77.62104869737011 13.059158357354447, 77.6206453035888 13.059131586489471, 77.62024117708947 13.059143706962917, 77.61984020956923 13.059194601656753, 77.61944626223074 13.059283780075251, 77.61906312860968 13.059410383082149, 77.61869449805583 13.0595731911864, 77.61834392021966 13.059770636295214, 77.61801477088476 13.060000816822216, 77.61771021947557 13.060261516003605, 77.61743319855182 13.060550223246917, 77.61718637558315 13.060864158306293, 77.61697212727503 13.06120029805135, 77.61679251669281 13.0615554055727, 77.6166492734031 13.061926061343371, 77.61654377682434 13.062308696137475, 77.61647704294562 13.062699625388513))",390,9r3tmz,Samruddhi Maruthi Enclave,13.061005,77.622701,27.0,27.0,0.33
1,"POLYGON ((77.61647704294562 13.062699625388513, 77.6164497145423 13.06309508465784, 77.6164620549822 13.06349126587211, 77.61651394568219 13.063884353980937, 77.61660488724031 13.064270563683028, 77.61673400423226 13.064646175867095, 77.6169000536273 13.065007573417425, 77.61710143674247 13.065351276039717, 77.61733621462092 13.06567397377192, 77.61760212668702 13.065972558857903, 77.61789661249911 13.066244155676745, 77.61821683639108 13.066486148439987, 77.61855971476648 13.066696206388961, 77.61892194578208 13.066872306250797, 77.61930004113655 13.067012751734804, 77.61969035965765 13.067116189882396, 77.62008914236517 13.067181624111994, 77.62049254867189 13.067208423832309, 77.62089669337418 13.06719633053197, 77.62129768407536 13.067145460284703, 77.621691658682 13.067056302646805, 77.62207482261047 13.066929715955936, 77.62244348534632 13.06676691907607, 77.62279409600232 13.06656947966873, 77.62312327753368 13.066339299101141, 77.62342785927858 13.066078594138716, 77.62370490751162 13.065789875596009, 77.62395175371361 13.06547592415315, 77.62416602028621 13.065139763570107, 77.62434564346226 13.064784631557112, 77.6244888931911 13.064413948582246, 77.62459438980692 13.064031284916958, 77.62466111731909 13.063640326237172, 77.624688433197 13.063244838112443, 77.62467607455417 13.062848629725066, 77.6246241606732 13.062455517169655, 77.62453319184696 13.062069286686976, 77.62440404454759 13.061693658186927, 77.62423796297054 13.061332249412164, 77.62403654703553 13.060988541088404, 77.62380173696063 13.06066584339677, 77.62353579455879 13.060367264091838, 77.62324128143747 13.060095678572413, 77.62292103431217 13.059853702192653, 77.62257813767228 13.059643665081643, 77.62221589406285 13.059467589711453, 77.62183779226923 13.059327171431622, 77.62144747371111 13.059223762155256, 77.62104869737011 13.059158357354447, 77.6206453035888 13.059131586489471, 77.62024117708947 13.059143706962917, 77.61984020956923 13.059194601656753, 77.61944626223074 13.059283780075251, 77.61906312860968 13.059410383082149, 77.61869449805583 13.0595731911864, 77.61834392021966 13.059770636295214, 77.61801477088476 13.060000816822216, 77.61771021947557 13.060261516003605, 77.61743319855182 13.060550223246917, 77.61718637558315 13.060864158306293, 77.61697212727503 13.06120029805135, 77.61679251669281 13.0615554055727, 77.6166492734031 13.061926061343371, 77.61654377682434 13.062308696137475, 77.61647704294562 13.062699625388513))",420,86737,Landmark Nest Primo,13.061827,77.61982,20.0,20.0,0.17
1,"POLYGON ((77.61647704294562 13.062699625388513, 77.6164497145423 13.06309508465784, 77.6164620549822 13.06349126587211, 77.61651394568219 13.063884353980937, 77.61660488724031 13.064270563683028, 77.61673400423226 13.064646175867095, 77.6169000536273 13.065007573417425, 77.61710143674247 13.065351276039717, 77.61733621462092 13.06567397377192, 77.61760212668702 13.065972558857903, 77.61789661249911 13.066244155676745, 77.61821683639108 13.066486148439987, 77.61855971476648 13.066696206388961, 77.61892194578208 13.066872306250797, 77.61930004113655 13.067012751734804, 77.61969035965765 13.067116189882396, 77.62008914236517 13.067181624111994, 77.62049254867189 13.067208423832309, 77.62089669337418 13.06719633053197, 77.62129768407536 13.067145460284703, 77.621691658682 13.067056302646805, 77.62207482261047 13.066929715955936, 77.62244348534632 13.06676691907607, 77.62279409600232 13.06656947966873, 77.62312327753368 13.066339299101141, 77.62342785927858 13.066078594138716, 77.62370490751162 13.065789875596009, 77.62395175371361 13.06547592415315, 77.62416602028621 13.065139763570107, 77.62434564346226 13.064784631557112, 77.6244888931911 13.064413948582246, 77.62459438980692 13.064031284916958, 77.62466111731909 13.063640326237172, 77.624688433197 13.063244838112443, 77.62467607455417 13.062848629725066, 77.6246241606732 13.062455517169655, 77.62453319184696 13.062069286686976, 77.62440404454759 13.061693658186927, 77.62423796297054 13.061332249412164, 77.62403654703553 13.060988541088404, 77.62380173696063 13.06066584339677, 77.62353579455879 13.060367264091838, 77.62324128143747 13.060095678572413, 77.62292103431217 13.059853702192653, 77.62257813767228 13.059643665081643, 77.62221589406285 13.059467589711453, 77.62183779226923 13.059327171431622, 77.62144747371111 13.059223762155256, 77.62104869737011 13.059158357354447, 77.6206453035888 13.059131586489471, 77.62024117708947 13.059143706962917, 77.61984020956923 13.059194601656753, 77.61944626223074 13.059283780075251, 77.61906312860968 13.059410383082149, 77.61869449805583 13.0595731911864, 77.61834392021966 13.059770636295214, 77.61801477088476 13.060000816822216, 77.61771021947557 13.060261516003605, 77.61743319855182 13.060550223246917, 77.61718637558315 13.060864158306293, 77.61697212727503 13.06120029805135, 77.61679251669281 13.0615554055727, 77.6166492734031 13.061926061343371, 77.61654377682434 13.062308696137475, 77.61647704294562 13.062699625388513))",482,336091,KVR Sai Krishna Residency,13.064987,77.619558,12.0,12.0,0.23
1,"POLYGON ((77.61647704294562 13.062699625388513, 77.6164497145423 13.06309508465784, 77.6164620549822 13.06349126587211, 77.61651394568219 13.063884353980937, 77.61660488724031 13.064270563683028, 77.61673400423226 13.064646175867095, 77.6169000536273 13.065007573417425, 77.61710143674247 13.065351276039717, 77.61733621462092 13.06567397377192, 77.61760212668702 13.065972558857903, 77.61789661249911 13.066244155676745, 77.61821683639108 13.066486148439987, 77.61855971476648 13.066696206388961, 77.61892194578208 13.066872306250797, 77.61930004113655 13.067012751734804, 77.61969035965765 13.067116189882396, 77.62008914236517 13.067181624111994, 77.62049254867189 13.067208423832309, 77.62089669337418 13.06719633053197, 77.62129768407536 13.067145460284703, 77.621691658682 13.067056302646805, 77.62207482261047 13.066929715955936, 77.62244348534632 13.06676691907607, 77.62279409600232 13.06656947966873, 77.62312327753368 13.066339299101141, 77.62342785927858 13.066078594138716, 77.62370490751162 13.065789875596009, 77.62395175371361 13.06547592415315, 77.62416602028621 13.065139763570107, 77.62434564346226 13.064784631557112, 77.6244888931911 13.064413948582246, 77.62459438980692 13.064031284916958, 77.62466111731909 13.063640326237172, 77.624688433197 13.063244838112443, 77.62467607455417 13.062848629725066, 77.6246241606732 13.062455517169655, 77.62453319184696 13.062069286686976, 77.62440404454759 13.061693658186927, 77.62423796297054 13.061332249412164, 77.62403654703553 13.060988541088404, 77.62380173696063 13.06066584339677, 77.62353579455879 13.060367264091838, 77.62324128143747 13.060095678572413, 77.62292103431217 13.059853702192653, 77.62257813767228 13.059643665081643, 77.62221589406285 13.059467589711453, 77.62183779226923 13.059327171431622, 77.62144747371111 13.059223762155256, 77.62104869737011 13.059158357354447, 77.6206453035888 13.059131586489471, 77.62024117708947 13.059143706962917, 77.61984020956923 13.059194601656753, 77.61944626223074 13.059283780075251, 77.61906312860968 13.059410383082149, 77.61869449805583 13.0595731911864, 77.61834392021966 13.059770636295214, 77.61801477088476 13.060000816822216, 77.61771021947557 13.060261516003605, 77.61743319855182 13.060550223246917, 77.61718637558315 13.060864158306293, 77.61697212727503 13.06120029805135, 77.61679251669281 13.0615554055727, 77.6166492734031 13.061926061343371, 77.61654377682434 13.062308696137475, 77.61647704294562 13.062699625388513))",517,8h2pq0,Brightway Divine,13.063202,77.621327,8.0,8.0,0.08
